"watershed","Area_ha","area_m2","ID","percent_high_severity"
"B200",474,4739468.3715372,1,10.3286598948334
"T003",228,2277288.5368986,2,53.3583903439608
"B204",167,1669147.46861189,3,19.5025154621387
"B203",138,1383556.17700132,4,1.55213239312014
"B201",53,529781.86612908,5,1.10586396684107
